Molecule,charge,spin,num_atoms,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
MME55_AAP_int1a,0.0,1.0,82.0,-152808.58556935453,-152808.65639439673,
MME55_AAP_int1b,0.0,1.0,82.0,-152808.44325350042,-152808.47418755275,
MME55_AAP_int2,0.0,1.0,82.0,-152808.43168092915,-152808.43938771647,
MME55_AAP_int3,0.0,1.0,82.0,-152808.39990332728,-152808.40954768416,
MME55_AAP_p,0.0,1.0,82.0,-152808.65684686397,-152808.5669603412,
MME55_AAP_r,0.0,1.0,82.0,-152808.64673044725,-152808.63550246155,
MME55_AAP_ts1,0.0,1.0,82.0,-152808.29705108586,-152808.3242319915,
MME55_AAP_ts2,0.0,1.0,82.0,-152808.37088888395,-152808.36942960822,
MME55_AAP_ts3,0.0,1.0,82.0,-152808.37853964575,-152808.36711403713,
MME55_AAP_ts4,0.0,1.0,82.0,-152808.3281861396,-152808.36881094406,
MME55_AH_int1,-1.0,1.0,116.0,-122129.7265871391,-122130.01434465375,
MME55_AH_int2,-1.0,1.0,116.0,-122129.48551200863,-122129.83342874124,
MME55_AH_int3,-1.0,1.0,116.0,-122130.51653803945,-122130.8732974952,
MME55_AH_int4,-1.0,1.0,116.0,-122131.05231640235,-122131.15077565832,
MME55_AH_p,-1.0,1.0,116.0,-122131.27835370484,-122131.2998138548,
MME55_AH_r,-1.0,1.0,116.0,-122129.9076239085,-122130.02794292202,
MME55_AH_ts1,-1.0,1.0,116.0,-122128.72029293649,-122129.37127298038,
MME55_AH_ts2,-1.0,1.0,116.0,-122129.27432525052,-122129.38380326114,
MME55_AH_ts3,-1.0,1.0,116.0,-122130.08681674479,-122130.45019684672,
MME55_AH_ts4,-1.0,1.0,116.0,-122130.16225461458,-122130.4289581684,
MME55_CDO_1A,1.0,1.0,81.0,,,
MME55_CDO_1B,1.0,1.0,81.0,,,
MME55_CDO_3A,1.0,3.0,81.0,,,
MME55_CDO_3B,1.0,3.0,81.0,,,
MME55_CDO_3Cprime,1.0,3.0,81.0,,,
MME55_CDO_3D,1.0,3.0,81.0,,,
MME55_CDO_5A,1.0,5.0,81.0,,,
MME55_CDO_5B,1.0,5.0,81.0,,,
MME55_CDO_5C,1.0,5.0,81.0,,,
MME55_CDO_5Cprime,1.0,5.0,81.0,,,
MME55_CDO_5D,1.0,5.0,81.0,,,
MME55_CoNHase_EP,1.0,1.0,116.0,-139665.42244335805,-139665.58355263315,
MME55_CoNHase_ES,1.0,1.0,116.0,-139665.7212640702,-139665.91563622258,
MME55_CoNHase_INT1,1.0,1.0,116.0,-139664.9389399095,-139664.84130183066,
MME55_CoNHase_INT2,1.0,1.0,116.0,-139666.1642911051,-139666.0269079312,
MME55_DMML_INT1,-1.0,6.0,96.0,-104007.15386222351,-104007.5169952567,
MME55_DMML_INT2,-1.0,6.0,96.0,-104007.14660015676,-104007.50717837966,
MME55_DMML_INT3,-1.0,6.0,96.0,-104004.81830778,-104005.00239131162,
MME55_DMML_INT4,-1.0,6.0,96.0,-104005.5977518423,-104005.57659634946,
MME55_DMML_PROD1,-1.0,6.0,96.0,-104006.88043925104,-104006.76436913552,
MME55_DMML_REACT,-1.0,6.0,96.0,-104007.12549263793,-104007.48495481578,
MME55_Hc_3_1,2.0,3.0,58.0,-130297.83143714338,-130298.42929044692,
MME55_Hc_3_2a,2.0,3.0,58.0,-130297.93453062463,-130298.2405481784,
MME55_Hc_3_3,2.0,3.0,58.0,-130298.19357833972,-130298.4635346723,
MME55_Hc_3_TS1,2.0,3.0,58.0,-130297.74452670662,-130298.16676811744,
MME55_Hc_3_TS2,2.0,3.0,58.0,-130298.06302575408,-130298.26519987476,
MME55_MoCuCODH_Int1A,-2.0,1.0,89.0,,,
MME55_MoCuCODH_Int2A,-2.0,1.0,89.0,,,
MME55_MoCuCODH_Int3A,-2.0,1.0,89.0,,,
MME55_MoCuCODH_Int4A,-2.0,1.0,89.0,,,
MME55_MoCuCODH_Int5A,-2.0,1.0,89.0,-153417.44844172095,-153417.68668495768,
MME55_MoCuCODH_Int6A,-2.0,1.0,89.0,,,
MME55_NiSOD_4_singlet,0.0,1.0,59.0,-102927.20190331287,-102927.52834925274,
MME55_NiSOD_4_triplet,0.0,3.0,59.0,-102927.3890593377,-102927.57775522956,
MME55_NiSOD_4prime_singlet,0.0,1.0,59.0,,,
MME55_NiSOD_4prime_triplet,0.0,3.0,59.0,,,
MME55_NiSOD_TS4,0.0,3.0,59.0,,,
MME55_PTE_i,1.0,1.0,82.0,-168990.90195036677,-168991.07264553456,
MME55_PTE_r,1.0,1.0,82.0,-168991.3516939363,-168991.18051851576,
MME55_PTE_ts1,1.0,1.0,82.0,-168991.0059335796,-168990.91642474415,
MME55_PTE_ts2,1.0,1.0,82.0,-168990.55742406374,-168990.85699422102,
MME55_WFOR_int,-1.0,1.0,101.0,-106625.21920562728,-106625.1965680186,
MME55_WFOR_p,-1.0,1.0,101.0,-106625.46113508542,-106625.85788229977,
MME55_WFOR_r,-1.0,1.0,101.0,-106625.07340861527,-106625.13272560992,
MME55_WFOR_ts1,-1.0,1.0,101.0,-106624.71429836088,-106624.66298346472,
MME55_WFOR_ts2,-1.0,1.0,101.0,-106624.24621758782,-106624.10324124058,
